soil_type,rainfall_mm,temperature_c,humidity_percent,crop
Loamy,94.6,20.7,68.3,Maize
Loamy,78.5,17.7,68.5,Wheat
Loamy,94.8,18.0,62.8,Wheat
Black,66.0,26.9,42.4,Cotton
Black,105.3,30.9,53.3,Cotton
Sandy,98.0,27.5,71.8,Maize
Clay,250.2,27.5,88.6,Rice
Black,236.0,33.9,71.1,Sugarcane
Black,218.9,28.7,65.7,Sugarcane
Clay,164.5,26.3,78.5,Rice
Clay,225.9,23.3,77.0,Rice
Loamy,238.9,31.3,77.1,Sugarcane
Loamy,246.5,26.5,82.2,Sugarcane
Clay,231.8,30.3,81.7,Rice
Black,241.6,25.8,76.7,Sugarcane
Loamy,192.5,29.4,78.0,Sugarcane
Loamy,173.2,25.0,89.4,Rice
Sandy,87.8,30.2,43.8,Cotton
Loamy,117.0,22.4,58.3,Maize
Loamy,241.8,31.9,83.1,Rice
Sandy,86.9,32.3,56.0,Cotton
Loamy,87.4,23.4,65.5,Wheat
Sandy,102.6,33.3,41.7,Cotton
Sandy,97.5,29.8,57.3,Maize
Loamy,243.2,27.6,72.0,Rice
Clay,291.2,27.7,81.6,Rice
Sandy,111.3,24.1,68.4,Maize
Clay,281.9,25.7,73.2,Rice
Black,84.4,27.7,49.7,Cotton
Sandy,72.6,25.8,40.4,Cotton
Clay,63.2,17.9,62.6,Wheat
Loamy,68.4,24.4,67.5,Wheat
Loamy,192.8,29.0,84.6,Rice
Clay,200.0,23.3,89.6,Rice
Sandy,76.8,29.9,46.5,Cotton
Sandy,83.7,29.5,59.7,Maize
Black,91.1,27.4,49.5,Cotton
Sandy,68.4,31.1,55.0,Cotton
Loamy,207.4,28.7,73.8,Sugarcane
Clay,261.2,27.5,78.6,Rice
Clay,214.5,22.4,77.3,Rice
Loamy,249.2,33.1,74.2,Sugarcane
Loamy,88.5,19.0,63.4,Wheat
Loamy,91.7,19.2,51.3,Wheat
Black,102.8,32.7,47.6,Cotton
Loamy,152.9,30.3,81.0,Sugarcane
Clay,98.9,22.6,60.2,Wheat
Clay,68.5,20.0,67.7,Wheat
Sandy,93.1,25.7,53.0,Cotton
Loamy,114.3,22.2,71.3,Maize
Sandy,113.2,25.5,72.9,Maize
Loamy,167.4,24.8,65.1,Sugarcane
Loamy,90.4,16.6,58.5,Wheat
Sandy,76.8,31.8,48.1,Cotton
Sandy,97.6,27.1,59.7,Maize
Loamy,225.8,24.5,88.2,Rice
