district,year,dominant_crop,yield_kg_per_ha,region,NDVI_mean,groundwater_anomaly
Sagar,2003,Chickpea,818.94,Bundelkhand,0.2553786521594239,2.3827919952493035
Sagar,2004,Chickpea,838.99,Bundelkhand,0.22878614637186032,1.5288195436398637
Sagar,2005,Chickpea,827.97,Bundelkhand,0.23633205211484562,0.2647408133298093
Sagar,2006,Oilseeds,820.32,Bundelkhand,0.22106796184588615,0.881262163474941
Sagar,2007,Oilseeds,573.56,Bundelkhand,0.216390398770794,1.237654159735427
Sagar,2008,Soyabean,893.07,Bundelkhand,0.21931784038039062,-0.23172340195466526
Sagar,2009,Oilseeds,908.05,Bundelkhand,0.22250934954247453,-3.9955534170674736
Sagar,2010,Oilseeds,1326.11,Bundelkhand,0.23006416517725609,-5.564566707046436
Sagar,2011,Oilseeds,986.38,Bundelkhand,0.23574159483936705,1.85977131094753
Sagar,2012,Soyabean,1307.98,Bundelkhand,0.25504518568991114,1.3472997874098929
Sagar,2013,Soyabean,426.0,Bundelkhand,0.28310780188729295,1.5496522737281728
Damoh,2003,Chickpea,823.86,Bundelkhand,0.2553786521594239,2.9362203333547257
Damoh,2004,Chickpea,794.03,Bundelkhand,0.22878614637186032,1.9964865113190848
Damoh,2005,Chickpea,857.97,Bundelkhand,0.23633205211484562,0.4996372985355952
Damoh,2006,Chickpea,916.97,Bundelkhand,0.22106796184588615,0.8054697501845368
Damoh,2007,Chickpea,667.3,Bundelkhand,0.216390398770794,0.9910706194332555
Damoh,2008,Chickpea,965.34,Bundelkhand,0.21931784038039062,-0.36256443331573424
Damoh,2009,Chickpea,1066.05,Bundelkhand,0.22250934954247453,-4.211413606219598
Damoh,2010,Chickpea,542.68,Bundelkhand,0.23006416517725609,-5.839632616340485
Damoh,2011,Chickpea,1041.58,Bundelkhand,0.23574159483936705,1.5591193556987126
Damoh,2012,Chickpea,1121.97,Bundelkhand,0.25504518568991114,0.8396846317840462
Damoh,2013,Chickpea,378.45,Bundelkhand,0.28310780188729295,0.9629297970706637
Tikamgarh,2003,Wheat,2080.63,Bundelkhand,0.2553786521594239,4.72994928122223
Tikamgarh,2004,Wheat,1633.98,Bundelkhand,0.22878614637186032,3.504444145335566
Tikamgarh,2005,Wheat,1337.15,Bundelkhand,0.23633205211484562,1.3600495111978057
Tikamgarh,2006,Minor Pulses,267.34,Bundelkhand,0.22106796184588615,0.3862654015644095
Tikamgarh,2007,Oilseeds,433.66,Bundelkhand,0.216390398770794,-0.27334280173935205
Tikamgarh,2008,Wheat,1947.86,Bundelkhand,0.21931784038039062,-0.6210279166936316
Tikamgarh,2009,Oilseeds,754.66,Bundelkhand,0.22250934954247453,-4.695417161514352
Tikamgarh,2010,Oilseeds,776.27,Bundelkhand,0.23006416517725609,-7.547413635270227
Tikamgarh,2011,Oilseeds,698.6,Bundelkhand,0.23574159483936705,0.4651739062482944
Tikamgarh,2012,Wheat,2564.17,Bundelkhand,0.25504518568991114,-0.6793675695168557
Tikamgarh,2013,Wheat,2026.73,Bundelkhand,0.28310780188729295,-0.9545377461223864
Chhatarpur,2003,Wheat,1717.83,Bundelkhand,0.2553786521594239,4.854146068028222
Chhatarpur,2004,Wheat,1699.72,Bundelkhand,0.22878614637186032,3.6329542198749603
Chhatarpur,2005,Wheat,1409.85,Bundelkhand,0.23633205211484562,1.3642675777879187
Chhatarpur,2006,Wheat,1171.48,Bundelkhand,0.22106796184588615,0.3432081116653374
Chhatarpur,2007,Oilseeds,327.84,Bundelkhand,0.216390398770794,-0.2947653870754397
Chhatarpur,2008,Wheat,1528.49,Bundelkhand,0.21931784038039062,-0.6013515793495189
Chhatarpur,2009,Oilseeds,438.99,Bundelkhand,0.22250934954247453,-4.726650926787413
Chhatarpur,2010,Oilseeds,452.71,Bundelkhand,0.23006416517725609,-7.475390023577952
Chhatarpur,2011,Oilseeds,387.57,Bundelkhand,0.23574159483936705,0.46584522044356724
Chhatarpur,2012,Wheat,2474.19,Bundelkhand,0.25504518568991114,-0.8842477062250242
Chhatarpur,2013,Wheat,2256.71,Bundelkhand,0.28310780188729295,-1.102319172258279
Panna,2003,Chickpea,698.99,Bundelkhand,0.2553786521594239,4.703725704644483
Panna,2004,Chickpea,612.17,Bundelkhand,0.22878614637186032,3.491490322884054
Panna,2005,Chickpea,774.99,Bundelkhand,0.23633205211484562,1.215097221178832
Panna,2006,Chickpea,738.96,Bundelkhand,0.22106796184588615,0.38383422339273987
Panna,2007,Chickpea,742.73,Bundelkhand,0.216390398770794,-0.0614969601094286
Panna,2008,Chickpea,1042.55,Bundelkhand,0.21931784038039062,-0.5393324120832392
Panna,2009,Chickpea,1071.43,Bundelkhand,0.22250934954247453,-4.730749509003627
Panna,2010,Minor Pulses,332.52,Bundelkhand,0.23006416517725609,-7.251542412200575
Panna,2011,Chickpea,1074.45,Bundelkhand,0.23574159483936705,0.5890815320688783
Panna,2012,Chickpea,1069.6,Bundelkhand,0.25504518568991114,-0.7341231173467593
Panna,2013,Wheat,1777.78,Bundelkhand,0.28310780188729295,-0.9295513611251288
Datia,2003,Wheat,2461.22,Bundelkhand,0.2553786521594239,5.802467795275567
Datia,2004,Wheat,2032.43,Bundelkhand,0.22878614637186032,4.2957351098937515
Datia,2005,Wheat,2158.62,Bundelkhand,0.23633205211484562,1.9179566409119913
Datia,2006,Wheat,1735.44,Bundelkhand,0.22106796184588615,0.21502201867225898
Datia,2007,Wheat,1715.25,Bundelkhand,0.216390398770794,-0.8206353989753383
Datia,2008,Wheat,1950.68,Bundelkhand,0.21931784038039062,-0.8547049577223302
Datia,2009,Wheat,2347.05,Bundelkhand,0.22250934954247453,-5.131514938090606
Datia,2010,Wheat,1996.93,Bundelkhand,0.23006416517725609,-8.400804658786985
Datia,2011,Wheat,2793.38,Bundelkhand,0.23574159483936705,-0.2688844281861816
Datia,2012,Wheat,2982.91,Bundelkhand,0.25504518568991114,-1.865537694396502
Datia,2013,Wheat,2999.78,Bundelkhand,0.28310780188729295,-2.4493111172221025
Cuddalore,2003,Rice,3078.52,Eastern_Tamil_Nadu,0.28043553147774264,-2.2890857407852363
Cuddalore,2004,Rice,3023.9,Eastern_Tamil_Nadu,0.24199388377259956,-2.6511930750192048
Cuddalore,2005,Rice,2582.96,Eastern_Tamil_Nadu,0.25485772362251374,-0.4849707047852907
Cuddalore,2006,Rice,3550.84,Eastern_Tamil_Nadu,0.26310957639236904,1.5113734264876129
Cuddalore,2007,Rice,3285.46,Eastern_Tamil_Nadu,0.2571204992781603,0.5556299200168812
Cuddalore,2008,Rice,2652.75,Eastern_Tamil_Nadu,0.2664444217092585,1.5040045509894122
Cuddalore,2009,Rice,3041.85,Eastern_Tamil_Nadu,0.2600018076715145,-0.5396350540513996
Cuddalore,2010,Rice,3061.22,Eastern_Tamil_Nadu,0.2764300206051472,0.6605034440040549
Cuddalore,2011,Rice,2869.8,Eastern_Tamil_Nadu,0.29008703125320956,2.214561949497495
Cuddalore,2012,Rice,3233.66,Eastern_Tamil_Nadu,0.3135504310655512,-0.8560207032915089
Cuddalore,2013,Rice,4573.46,Eastern_Tamil_Nadu,0.29293607241540714,-4.013453830655728
Thanjavur,2003,Rice,2062.94,Eastern_Tamil_Nadu,0.28043553147774264,-1.3968877765184822
Thanjavur,2004,Rice,1851.78,Eastern_Tamil_Nadu,0.24199388377259956,-2.010309090128084
Thanjavur,2005,Rice,1732.86,Eastern_Tamil_Nadu,0.25485772362251374,-0.05514160935833715
Thanjavur,2006,Rice,3595.75,Eastern_Tamil_Nadu,0.26310957639236904,1.2080415465432932
Thanjavur,2007,Rice,2421.46,Eastern_Tamil_Nadu,0.2571204992781603,0.26830614259025315
Thanjavur,2008,Rice,1583.66,Eastern_Tamil_Nadu,0.2664444217092585,1.2395789031692035
Thanjavur,2009,Rice,2794.29,Eastern_Tamil_Nadu,0.2600018076715145,-0.8182393196618656
Thanjavur,2010,Rice,2299.56,Eastern_Tamil_Nadu,0.2764300206051472,-0.022698896076288683
Thanjavur,2011,Rice,4027.91,Eastern_Tamil_Nadu,0.29008703125320956,1.6010804952368844
Thanjavur,2012,Rice,1854.48,Eastern_Tamil_Nadu,0.3135504310655512,-0.7181495622167646
Thanjavur,2013,Rice,4564.48,Eastern_Tamil_Nadu,0.29293607241540714,-3.451063735294106
Jalaun,2003,Minor Pulses,1059.36,Bundelkhand,0.2553786521594239,6.932706809582958
Jalaun,2004,Minor Pulses,1235.85,Bundelkhand,0.22878614637186032,5.192311606713928
Jalaun,2005,Minor Pulses,1203.27,Bundelkhand,0.23633205211484562,2.469758117374064
Jalaun,2006,Wheat,2819.56,Bundelkhand,0.22106796184588615,-0.019108963793720696
Jalaun,2007,Wheat,1777.22,Bundelkhand,0.216390398770794,-1.3287661210927255
Jalaun,2008,Wheat,3127.09,Bundelkhand,0.21931784038039062,-1.0186418681211367
Jalaun,2009,Wheat,2760.39,Bundelkhand,0.22250934954247453,-5.6049198162475165
Jalaun,2010,Wheat,3197.25,Bundelkhand,0.23006416517725609,-8.992092051394737
Jalaun,2011,Wheat,3362.12,Bundelkhand,0.23574159483936705,-0.9819490976278658
Jalaun,2012,Wheat,3211.7,Bundelkhand,0.25504518568991114,-3.6595313152589717
Jalaun,2013,Wheat,2979.53,Bundelkhand,0.28310780188729295,-4.410122517585932
Banda,2003,Wheat,1939.87,Bundelkhand,0.2553786521594239,6.382957842104401
Banda,2004,Wheat,1581.49,Bundelkhand,0.22878614637186032,4.917277527121642
Banda,2005,Wheat,1442.53,Bundelkhand,0.23633205211484562,2.054438992766932
Banda,2006,Wheat,1403.99,Bundelkhand,0.22106796184588615,-0.01315963637408417
Banda,2007,Wheat,1316.51,Bundelkhand,0.216390398770794,-1.0707981668784534
Banda,2008,Wheat,1791.62,Bundelkhand,0.21931784038039062,-0.7730422023922996
Banda,2009,Wheat,1728.9,Bundelkhand,0.22250934954247453,-5.337597537509165
Banda,2010,Wheat,1794.31,Bundelkhand,0.23006416517725609,-8.542122986672215
Banda,2011,Wheat,2194.96,Bundelkhand,0.23574159483936705,-0.48343501012135687
Banda,2012,Wheat,2276.49,Bundelkhand,0.25504518568991114,-2.8983126875717935
Banda,2013,Wheat,1913.89,Bundelkhand,0.28310780188729295,-3.4030535081307716
